raceId,year,circuitId,name,date,time,quali_date,quali_time,sprint_date,sprint_time,lat_x,lng_x,race_temp,race_precip,race_humidity,quali_temp,quali_precip,quali_humidity,fp1_date,fp1_time,fp2_date,fp2_time,fp3_date,fp3_time,race_condition_wiki,quali_condition_clean,circuitRef,location,country,alt,qualifyId,driverId,constructorId,quali_position,q1,q2,q3,resultId_x,grid_sprint,positionText_sprint,positionOrder_sprint,points_sprint,laps_sprint,milliseconds_sprint,fastestLap_sprint,fastestLapTime_sprint,status_sprint,resultId_y,grid,positionText,positionOrder,points,laps,milliseconds,fastestLap,rank,fastestLapTime,fastestLapSpeed,status,driverStandingsId,points_drivers,position_drivers,wins_drivers,constructorStandingsId,points_constructors,position_constructors,wins_constructors,constructorResultsId,points_constructor_ind_races,driverRef,number,dob,nationality_drivers,constructorRef,nationality_constructors
1,2009,1,Australian Grand Prix,2009-03-29,06:00:00,,,,,-37.8497,144.968,10.425,0.0,57.2275,9.3,0.0,88.04249999999999,,,,,,,dry,dry,albert_park,Melbourne,Australia,10.0,2986,18,23,1,1:25.211,1:24.855,1:26.202,,,,,,,,,,,7554.0,1.0,1,1.0,10.0,58.0,5655784.0,17.0,3.0,1:28.020,216.891,Finished,8247.0,10.0,1.0,1.0,4038.0,18.0,1.0,1.0,3823.0,18.0,button,22.0,1980-01-19,UK,brawn,UK
1,2009,1,Australian Grand Prix,2009-03-29,06:00:00,,,,,-37.8497,144.968,10.425,0.0,57.2275,9.3,0.0,88.04249999999999,,,,,,,dry,dry,albert_park,Melbourne,Australia,10.0,2987,22,23,2,1:25.006,1:24.783,1:26.505,,,,,,,,,,,7555.0,2.0,2,2.0,8.0,58.0,5656591.0,43.0,14.0,1:29.066,214.344,Finished,8248.0,8.0,2.0,0.0,4038.0,18.0,1.0,1.0,3823.0,18.0,barrichello,,1972-05-23,Brazil,brawn,UK
1,2009,1,Australian Grand Prix,2009-03-29,06:00:00,,,,,-37.8497,144.968,10.425,0.0,57.2275,9.3,0.0,88.04249999999999,,,,,,,dry,dry,albert_park,Melbourne,Australia,10.0,2988,20,9,3,1:25.938,1:25.121,1:26.830,,,,,,,,,,,7566.0,3.0,13,13.0,0.0,56.0,,8.0,4.0,1:28.140,216.596,Collision,8259.0,0.0,13.0,0.0,4045.0,0.0,8.0,0.0,3831.0,0.0,vettel,5.0,1987-07-03,Germany,red_bull,Austria
1,2009,1,Australian Grand Prix,2009-03-29,06:00:00,,,,,-37.8497,144.968,10.425,0.0,57.2275,9.3,0.0,88.04249999999999,,,,,,,dry,dry,albert_park,Melbourne,Australia,10.0,2989,9,2,4,1:25.922,1:25.152,1:26.914,,,,,,,,,,,7567.0,4.0,14,14.0,0.0,55.0,,36.0,2.0,1:27.988,216.97,Collision,8260.0,0.0,14.0,0.0,4044.0,0.0,7.0,0.0,3830.0,0.0,kubica,88.0,1984-12-07,Poland,bmw_sauber,Germany
1,2009,1,Australian Grand Prix,2009-03-29,06:00:00,,,,,-37.8497,144.968,10.425,0.0,57.2275,9.3,0.0,88.04249999999999,,,,,,,dry,dry,albert_park,Melbourne,Australia,10.0,2990,3,3,5,1:25.846,1:25.123,1:26.973,,,,,,,,,,,7559.0,5.0,6,6.0,3.0,58.0,5661506.0,48.0,1.0,1:27.706,217.668,Finished,8252.0,3.0,6.0,0.0,4041.0,3.0,4.0,0.0,3827.0,3.0,rosberg,6.0,1985-06-27,Germany,williams,UK
1,2009,1,Australian Grand Prix,2009-03-29,06:00:00,,,,,-37.8497,144.968,10.425,0.0,57.2275,9.3,0.0,88.04249999999999,,,,,,,dry,dry,albert_park,Melbourne,Australia,10.0,2991,10,7,6,1:25.499,1:25.281,1:26.975,,,,,,,,,,,7557.0,19.0,4,4.0,5.0,58.0,5660219.0,53.0,6.0,1:28.416,215.92,Finished,8250.0,5.0,4.0,0.0,4039.0,11.0,2.0,0.0,3825.0,11.0,glock,,1982-03-18,Germany,toyota,Japan
1,2009,1,Australian Grand Prix,2009-03-29,06:00:00,,,,,-37.8497,144.968,10.425,0.0,57.2275,9.3,0.0,88.04249999999999,,,,,,,dry,dry,albert_park,Melbourne,Australia,10.0,2992,13,6,7,1:25.844,1:25.319,1:27.033,,,,,,,,,,,7569.0,6.0,R,16.0,0.0,45.0,,30.0,15.0,1:29.141,214.164,Suspension,,,,,4046.0,0.0,9.0,0.0,3832.0,0.0,massa,19.0,1981-04-25,Brazil,ferrari,Italy
1,2009,1,Australian Grand Prix,2009-03-29,06:00:00,,,,,-37.8497,144.968,10.425,0.0,57.2275,9.3,0.0,88.04249999999999,,,,,,,dry,dry,albert_park,Melbourne,Australia,10.0,2993,15,7,8,1:26.194,1:25.265,1:27.127,,,,,,,,,,,7556.0,20.0,3,3.0,6.0,58.0,5657388.0,50.0,10.0,1:28.916,214.706,Finished,8249.0,6.0,3.0,0.0,4039.0,11.0,2.0,0.0,3825.0,11.0,trulli,,1974-07-13,Italy,toyota,Japan
1,2009,1,Australian Grand Prix,2009-03-29,06:00:00,,,,,-37.8497,144.968,10.425,0.0,57.2275,9.3,0.0,88.04249999999999,,,,,,,dry,dry,albert_park,Melbourne,Australia,10.0,2994,8,6,9,1:25.899,1:25.380,1:27.163,,,,,,,,,,,7568.0,7.0,15,15.0,0.0,55.0,,35.0,7.0,1:28.488,215.744,Differential,8261.0,0.0,15.0,0.0,4046.0,0.0,9.0,0.0,3832.0,0.0,raikkonen,7.0,1979-10-17,Finland,ferrari,Italy
1,2009,1,Australian Grand Prix,2009-03-29,06:00:00,,,,,-37.8497,144.968,10.425,0.0,57.2275,9.3,0.0,88.04249999999999,,,,,,,dry,dry,albert_park,Melbourne,Australia,10.0,2995,17,9,10,1:25.427,1:25.241,1:27.246,,,,,,,,,,,7565.0,8.0,12,12.0,0.0,57.0,,38.0,8.0,1:28.508,215.695,+1 Lap,8258.0,0.0,12.0,0.0,4045.0,0.0,8.0,0.0,3831.0,0.0,webber,,1976-08-27,Australia,red_bull,Austria
1,2009,1,Australian Grand Prix,2009-03-29,06:00:00,,,,,-37.8497,144.968,10.425,0.0,57.2275,9.3,0.0,88.04249999999999,,,,,,,dry,dry,albert_park,Melbourne,Australia,10.0,2996,2,2,11,1:25.827,1:25.504,,,,,,,,,,,,7563.0,9.0,10,10.0,0.0,58.0,5662869.0,48.0,5.0,1:28.283,216.245,Finished,8256.0,0.0,10.0,0.0,4044.0,0.0,7.0,0.0,3830.0,0.0,heidfeld,,1977-05-10,Germany,bmw_sauber,Germany
1,2009,1,Australian Grand Prix,2009-03-29,06:00:00,,,,,-37.8497,144.968,10.425,0.0,57.2275,9.3,0.0,88.04249999999999,,,,,,,dry,dry,albert_park,Melbourne,Australia,10.0,2997,4,4,12,1:26.026,1:25.605,,,,,,,,,,,,7558.0,10.0,5,5.0,4.0,58.0,5660663.0,53.0,9.0,1:28.712,215.199,Finished,8251.0,4.0,5.0,0.0,4040.0,4.0,3.0,0.0,3826.0,4.0,alonso,14.0,1981-07-29,Spain,renault,France
1,2009,1,Australian Grand Prix,2009-03-29,06:00:00,,,,,-37.8497,144.968,10.425,0.0,57.2275,9.3,0.0,88.04249999999999,,,,,,,dry,dry,albert_park,Melbourne,Australia,10.0,2998,6,3,13,1:26.074,1:25.607,,,,,,,,,,,,7571.0,11.0,R,18.0,0.0,17.0,,6.0,18.0,1:29.923,212.301,Accident,,,,,4041.0,3.0,4.0,0.0,3827.0,3.0,nakajima,,1985-01-11,Japan,williams,UK
1,2009,1,Australian Grand Prix,2009-03-29,06:00:00,,,,,-37.8497,144.968,10.425,0.0,57.2275,9.3,0.0,88.04249999999999,,,,,,,dry,dry,albert_park,Melbourne,Australia,10.0,2999,5,1,14,1:26.184,1:25.726,,,,,,,,,,,,7572.0,12.0,R,19.0,0.0,0.0,,,,,,Collision,,,,,,,,,3824.0,0.0,kovalainen,,1981-10-19,Finland,mclaren,UK
1,2009,1,Australian Grand Prix,2009-03-29,06:00:00,,,,,-37.8497,144.968,10.425,0.0,57.2275,9.3,0.0,88.04249999999999,,,,,,,dry,dry,albert_park,Melbourne,Australia,10.0,3000,1,1,15,1:26.454,,,,,,,,,,,,,7573.0,18.0,D,20.0,0.0,58.0,,39.0,13.0,1:29.020,214.455,Disqualified,,,,,,,,,3824.0,0.0,hamilton,44.0,1985-01-07,UK,mclaren,UK
1,2009,1,Australian Grand Prix,2009-03-29,06:00:00,,,,,-37.8497,144.968,10.425,0.0,57.2275,9.3,0.0,88.04249999999999,,,,,,,dry,dry,albert_park,Melbourne,Australia,10.0,3001,67,5,16,1:26.503,,,,,,,,,,,,,7560.0,13.0,7,7.0,2.0,58.0,5661788.0,34.0,16.0,1:29.230,213.95,Finished,8253.0,2.0,7.0,0.0,4042.0,3.0,5.0,0.0,3828.0,3.0,buemi,,1988-10-31,Switzerland,toro_rosso,Italy
1,2009,1,Australian Grand Prix,2009-03-29,06:00:00,,,,,-37.8497,144.968,10.425,0.0,57.2275,9.3,0.0,88.04249999999999,,,,,,,dry,dry,albert_park,Melbourne,Australia,10.0,3002,12,4,17,1:26.598,,,,,,,,,,,,,7570.0,14.0,R,17.0,0.0,24.0,,17.0,19.0,1:30.502,210.943,Spun off,,,,,4040.0,4.0,3.0,0.0,3826.0,4.0,piquet_jr,,1985-07-25,Brazil,renault,France
1,2009,1,Australian Grand Prix,2009-03-29,06:00:00,,,,,-37.8497,144.968,10.425,0.0,57.2275,9.3,0.0,88.04249999999999,,,,,,,dry,dry,albert_park,Melbourne,Australia,10.0,3003,21,10,18,1:26.677,,,,,,,,,,,,,7564.0,15.0,11,11.0,0.0,58.0,5663158.0,51.0,12.0,1:29.005,214.491,Finished,8257.0,0.0,11.0,0.0,4043.0,0.0,6.0,0.0,3829.0,0.0,fisichella,,1973-01-14,Italy,force_india,India
1,2009,1,Australian Grand Prix,2009-03-29,06:00:00,,,,,-37.8497,144.968,10.425,0.0,57.2275,9.3,0.0,88.04249999999999,,,,,,,dry,dry,albert_park,Melbourne,Australia,10.0,3004,16,10,19,1:26.742,,,,,,,,,,,,,7562.0,16.0,9,9.0,0.0,58.0,5662119.0,43.0,11.0,1:28.943,214.64,Finished,8255.0,0.0,9.0,0.0,4043.0,0.0,6.0,0.0,3829.0,0.0,sutil,99.0,1983-01-11,Germany,force_india,India
1,2009,1,Australian Grand Prix,2009-03-29,06:00:00,,,,,-37.8497,144.968,10.425,0.0,57.2275,9.3,0.0,88.04249999999999,,,,,,,dry,dry,albert_park,Melbourne,Australia,10.0,3005,7,5,20,1:26.964,,,,,,,,,,,,,7561.0,17.0,8,8.0,1.0,58.0,5662082.0,50.0,17.0,1:29.823,212.537,Finished,8254.0,1.0,8.0,0.0,4042.0,3.0,5.0,0.0,3828.0,3.0,bourdais,,1979-02-28,France,toro_rosso,Italy
18,2008,1,Australian Grand Prix,2008-03-16,04:30:00,,,,,-37.8497,144.968,19.5,0.0,60.0875,16.824999999999996,0.0,90.1025,,,,,,,dry,dry,albert_park,Melbourne,Australia,10.0,1,1,1,1,1:26.572,1:25.187,1:26.714,,,,,,,,,,,1.0,1.0,1,1.0,10.0,58.0,5690616.0,39.0,2.0,1:27.452,218.3,Finished,1.0,10.0,1.0,1.0,1.0,14.0,1.0,1.0,1.0,14.0,hamilton,44.0,1985-01-07,UK,mclaren,UK
18,2008,1,Australian Grand Prix,2008-03-16,04:30:00,,,,,-37.8497,144.968,19.5,0.0,60.0875,16.824999999999996,0.0,90.1025,,,,,,,dry,dry,albert_park,Melbourne,Australia,10.0,2,9,2,2,1:26.103,1:25.315,1:26.869,,,,,,,,,,,9.0,2.0,R,9.0,0.0,47.0,,15.0,9.0,1:28.753,215.1,Collision,,,,,2.0,8.0,3.0,0.0,2.0,8.0,kubica,88.0,1984-12-07,Poland,bmw_sauber,Germany
18,2008,1,Australian Grand Prix,2008-03-16,04:30:00,,,,,-37.8497,144.968,19.5,0.0,60.0875,16.824999999999996,0.0,90.1025,,,,,,,dry,dry,albert_park,Melbourne,Australia,10.0,3,5,1,3,1:25.664,1:25.452,1:27.079,,,,,,,,,,,5.0,3.0,5,5.0,4.0,58.0,5708630.0,43.0,1.0,1:27.418,218.385,Finished,5.0,4.0,5.0,0.0,1.0,14.0,1.0,1.0,1.0,14.0,kovalainen,,1981-10-19,Finland,mclaren,UK
18,2008,1,Australian Grand Prix,2008-03-16,04:30:00,,,,,-37.8497,144.968,19.5,0.0,60.0875,16.824999999999996,0.0,90.1025,,,,,,,dry,dry,albert_park,Melbourne,Australia,10.0,4,13,6,4,1:25.994,1:25.691,1:27.178,,,,,,,,,,,13.0,4.0,R,13.0,0.0,29.0,,23.0,6.0,1:28.175,216.51,Engine,,,,,6.0,1.0,6.0,0.0,6.0,1.0,massa,19.0,1981-04-25,Brazil,ferrari,Italy
18,2008,1,Australian Grand Prix,2008-03-16,04:30:00,,,,,-37.8497,144.968,19.5,0.0,60.0875,16.824999999999996,0.0,90.1025,,,,,,,dry,dry,albert_park,Melbourne,Australia,10.0,5,2,2,5,1:25.960,1:25.518,1:27.236,,,,,,,,,,,2.0,5.0,2,2.0,8.0,58.0,5696094.0,41.0,3.0,1:27.739,217.586,Finished,2.0,8.0,2.0,0.0,2.0,8.0,3.0,0.0,2.0,8.0,heidfeld,,1977-05-10,Germany,bmw_sauber,Germany
